id,name,size,price,rating,img,url,subB
prod6017176,1-Day Acuvue Moist 90 pack,1.0 Box ,$72.99,4.7,//pics.drugstore.com/prodimg/249835/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-90-pk-1-day-acuvue-moist-90-pack/ID=prod6017176-product,1-Day Acuvue Moist 90 Pk
prod4093553,Acuvue Oasys for Astigmatism,1.0 Box ,$49.49,4.6,//pics.drugstore.com/prodimg/193685/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-for-astigmatism-acuvue-oasys-for-astigmatism/ID=prod4093553-product,Acuvue Oasys for Astigmatism
prod6258783,Acuvue Oasys 12 pack,1.0 Box ,$76.99,4.4,//pics.drugstore.com/prodimg/528844/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-12pk-acuvue-oasys-12-pack/ID=prod6258783-product,Acuvue Oasys 12Pk
prod6007153,Dailies AquaComfort PLUS 90 pack,1.0 Box ,$62.99,4.5,//pics.drugstore.com/prodimg/194085/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-90-pack/ID=prod6007153-product,Dailies AquaComfort PLUS
prod6312311,Acuvue Oasys 1-Day 90 pack,1.0 Box ,$99.99,4.6,//pics.drugstore.com/prodimg/563242/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-hydraluxe-90pk-acuvue-oasys-1-day-90-pack/ID=prod6312311-product,Acuvue Oasys HydraLuxe 90Pk
prod3898670,Biofinity 6 pack,1.0 Box ,$50.49,4.5,//pics.drugstore.com/prodimg/184963/155.jpg,https://www.walgreens.com/store/c/biofinity-biofinity-6-pack/ID=prod3898670-product,Biofinity
prod6157375,Acuvue Oasys 24 pack,1.0 Box ,$130.99,4.6,//pics.drugstore.com/prodimg/410740/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-24pk-acuvue-oasys-24-pack/ID=prod6157375-product,Acuvue Oasys 24Pk
prod6300763,1-Day Acuvue Moist For Astigmatism 90 pack,1.0 Box ,$98.49,4.3,//pics.drugstore.com/prodimg/556142/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-for-astigmatism-90-pk-1-day-acuvue-moist-for-astigmatism-90-pack/ID=prod6300763-product,1-Day Acuvue Moist For Astigmatism 90 Pk
prod5666725,Biofinity Toric,1.0 Box ,$71.99,4.6,//pics.drugstore.com/prodimg/223900/155.jpg,https://www.walgreens.com/store/c/biofinity-toric-biofinity-toric/ID=prod5666725-product,Biofinity Toric
prod6229500,Dailies Total 1 90 pack,1.0 Box ,$102.99,4.7,//pics.drugstore.com/prodimg/508671/155.jpg,https://www.walgreens.com/store/c/dailies-total-1-dailies-total-1-90-pack/ID=prod6229500-product,Dailies Total 1
prod5581626,Air Optix Night & Day Aqua,1.0 Box ,$73.99,4.6,//pics.drugstore.com/prodimg/216259/155.jpg,https://www.walgreens.com/store/c/air-optix-air-optix-night-%26-day-aqua/ID=prod5581626-product,Air Optix
prod2301391,Acuvue 2,1.0 Box ,$34.99,4.6,//pics.drugstore.com/prodimg/90765/155.jpg,https://www.walgreens.com/store/c/acuvue-2-acuvue-2/ID=prod2301391-product,Acuvue 2
prod4118862,Air Optix Aqua,1.0 Box ,$50.99,4.7,//pics.drugstore.com/prodimg/194307/155.jpg,https://www.walgreens.com/store/c/air-optix-air-optix-aqua/ID=prod4118862-product,Air Optix
prod6347400,Air Optix plus Hydraglyde,1.0 Box ,$53.99,4.4,//pics.drugstore.com/prodimg/592168/155.jpg,https://www.walgreens.com/store/c/air-optix-air-optix-plus-hydraglyde/ID=prod6347400-product,Air Optix
prod6358602,Acuvue Oasys 1-Day For Astigmatism 30 pack,1.0 Box ,$45.99,4.5,//pics.drugstore.com/prodimg/598440/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-1-day-for-astigmatism-acuvue-oasys-1-day-for-astigmatism-30-pack/ID=prod6358602-product,Acuvue Oasys 1-Day for Astigmatism
prod3067753,1-Day Acuvue Moist 30 pack,1.0 Box ,$38.99,4.5,//pics.drugstore.com/prodimg/163278/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-30-pk-1-day-acuvue-moist-30-pack/ID=prod3067753-product,1-Day Acuvue Moist 30 Pk
prod3998114,Air Optix for Astigmatism,1.0 Box ,$61.99,4.6,//pics.drugstore.com/prodimg/189216/155.jpg,https://www.walgreens.com/store/c/air-optix-for-astigmatism-air-optix-for-astigmatism/ID=prod3998114-product,Air Optix for Astigmatism
prod6198018,Biotrue ONEday 90 pack,1.0 Box ,$71.99,4.4,//pics.drugstore.com/prodimg/455287/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-biotrue-oneday-90-pack/ID=prod6198018-product,Biotrue ONEday
300179915,1-Day Acuvue Moist For Astigmatism 30 pack,1.0 Box ,$44.99,4.2,//pics.drugstore.com/prodimg/389075/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-for-astigmatism-30-pk-1-day-acuvue-moist-for-astigmatism-30-pack/ID=300179915-product,1-Day Acuvue Moist For Astigmatism 30 Pk
prod6257622,Dailies AquaComfort PLUS Toric 90 pack,1.0 Box ,$89.99,4.6,//pics.drugstore.com/prodimg/529384/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-toric-90-pack/ID=prod6257622-product,Dailies AquaComfort PLUS
prod6188362,1-Day Acuvue TruEye Nar A 90 pack,1.0 Box ,$104.99,4.2,//pics.drugstore.com/prodimg/478144/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-trueye-nar-a-90pk-1-day-acuvue-trueye-nar-a-90-pack/ID=prod6188362-product,1-Day Acuvue TruEye NAR A 90pk
prod6315823,Clariti 1 Day 90 pack,1.0 Box ,$72.99,4.6,//pics.drugstore.com/prodimg/566639/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-90-pk-clariti-1-day-90-pack/ID=prod6315823-product,Clariti 1 Day 90 Pk
prod6335750,Acuvue VITA,1.0 Box ,$64.49,4.4,//pics.drugstore.com/prodimg/582573/155.jpg,https://www.walgreens.com/store/c/acuvue-vita-6pk-acuvue-vita/ID=prod6335750-product,Acuvue Vita 6pk
prod6297029,1-Day Acuvue Moist MultiFocal 90 pack,1.0 Box ,$111.99,4.7,//pics.drugstore.com/prodimg/554223/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-multifocal-90pk-1-day-acuvue-moist-multifocal-90-pack/ID=prod6297029-product,1-Day Acuvue Moist MultiFocal 90Pk
prod6091900,Biofinity Multifocal,1.0 Box ,$86.99,4.5,//pics.drugstore.com/prodimg/360147/155.jpg,https://www.walgreens.com/store/c/biofinity-multifocal-biofinity-multifocal/ID=prod6091900-product,Biofinity Multifocal
prod6022300,Air Optix Aqua Multifocal,1.0 Box ,$88.99,4.8,//pics.drugstore.com/prodimg/229092/155.jpg,https://www.walgreens.com/store/c/air-optix-air-optix-aqua-multifocal/ID=prod6022300-product,Air Optix
prod3898682,Proclear 1-Day 90 pack,1.0 Box ,$76.50,4.8,//pics.drugstore.com/prodimg/170082/155.jpg,https://www.walgreens.com/store/c/proclear-1-day-90-pack-proclear-1-day-90-pack/ID=prod3898682-product,Proclear 1 Day 90 Pack
prod2301413,Freshlook Colorblends,1.0 Box ,$77.99,4.3,//pics.drugstore.com/prodimg/90782/155.jpg,https://www.walgreens.com/store/c/freshlook-colorblends-freshlook-colorblends/ID=prod2301413-product,FreshLook ColorBlends
prod6281852,Bausch + Lomb ULTRA,1.0 Box ,$60.00,3.9,//pics.drugstore.com/prodimg/544553/155.jpg,https://www.walgreens.com/store/c/bausch---lomb-ultra-bausch---lomb-ultra/ID=prod6281852-product,Bausch + Lomb ULTRA
